Job Title,Type of ownership,Sector,min_salary,max_salary,city,state,h_city,h_state,same_city
Junior Data Analyst,Nonprofit Organization,Non-Profit,37,66,New York,NY,New York,NY,1
Junior Data Analyst,Nonprofit Organization,Health Care,37,66,New York,NY,New York,NY,1
Senior Data Analyst,Company - Private,Information Technology,37,66,New York,NY,New York,NY,1
Junior Data Analyst,Subsidiary or Business Segment,Information Technology,37,66,New York,NY,McLean,VA,0
Junior Data Analyst,Company - Private,"Arts, Entertainment & Recreation",37,66,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Finance,37,66,New York,NY,Stamford,CT,0
Junior Data Analyst,Company - Private,Finance,37,66,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Insurance,37,66,New York,NY,New York,NY,1
Junior Data Analyst,Company - Public,Finance,37,66,New York,NY,London,United Kingdom,0
Junior Data Analyst,Company - Private,Business Services,37,66,New York,NY,New York,NY,1
Junior Data Analyst,Hospital,Health Care,37,66,New York,NY,New York,NY,1
Junior Data Analyst,Nonprofit Organization,Health Care,37,66,New York,NY,Bronx,NY,0
Senior Data Analyst,Company - Private,Business Services,37,66,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Finance,37,66,Jersey City,NJ,Phoenix,AZ,0
Junior Data Analyst,Company - Private,Business Services,37,66,New York,NY,New York,NY,1
Junior Data Analyst,Subsidiary or Business Segment,Business Services,37,66,New York,NY,New York,NY,1
Junior Data Analyst,Nonprofit Organization,Business Services,37,66,New York,NY,Rome,NY,0
Junior Data Analyst,Nonprofit Organization,Business Services,37,66,New York,NY,Waltham,MA,0
Junior Data Analyst,Company - Private,Information Technology,37,66,New York,NY,New York,NY,1
Junior Data Analyst,Company - Public,Information Technology,37,66,New York,NY,Mountain View,CA,0
Junior Data Analyst,Company - Public,-1,37,66,New York,NY,Marina del Rey,CA,0
Junior Data Analyst,Company - Public,Finance,37,66,New York,NY,Sydney,Australia,0
Junior Data Analyst,Company - Private,"Restaurants, Bars & Food Services",37,66,New York,NY,Warren,MI,0
Junior Data Analyst,Unknown,-1,37,66,New York,NY,Columbus,OH,0
Junior Data Analyst,Company - Private,Business Services,37,66,New York,NY,San Francisco,CA,0
Junior Data Analyst,Company - Private,Information Technology,37,66,New York,NY,Pittsburgh,PA,0
Junior Data Analyst,Company - Private,Health Care,37,66,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Business Services,37,66,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Business Services,37,66,New York,NY,Washington,DC,0
Junior Data Analyst,Company - Private,Business Services,46,87,Brooklyn,NY,Seattle,WA,0
Junior Data Analyst,Company - Private,Information Technology,46,87,Jersey City,NJ,Newtown,PA,0
Junior Data Analyst,Contract,-1,46,87,New York,NY,Piscataway,NJ,0
Junior Data Analyst,Company - Private,Finance,46,87,New York,NY,San Francisco,CA,0
Junior Data Analyst,Company - Public,Finance,46,87,New York,NY,Charlotte,NC,0
Junior Data Analyst,Company - Public,-1,46,87,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Information Technology,46,87,New York,NY,Westmont,IL,0
Junior Data Analyst,Hospital,Health Care,46,87,New York,NY,New York,NY,1
Junior Data Analyst,Nonprofit Organization,Non-Profit,46,87,New York,NY,West Hollywood,CA,0
Junior Data Analyst,Company - Private,-1,46,87,New York,NY,New York,NY,1
Junior Data Analyst,Company - Public,-1,46,87,New York,NY,Kyiv,Ukraine,0
Junior Data Analyst,Company - Private,-1,46,87,New York,NY,Santa Monica,CA,0
Junior Data Analyst,Company - Private,Business Services,46,87,New York,NY,Cherry Hill,NJ,0
Junior Data Analyst,Company - Private,Information Technology,46,87,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Business Services,46,87,New York,NY,Cleveland,OH,0
Junior Data Analyst,Company - Private,Business Services,46,87,New York,NY,San Francisco,CA,0
Junior Data Analyst,Company - Private,Business Services,46,87,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Finance,46,87,New York,NY,New York,NY,1
Senior Data Analyst,Company - Public,Information Technology,46,87,New York,NY,San Jose,CA,0
Senior Data Analyst,Company - Public,Media,46,87,New York,NY,Burbank,CA,0
Junior Data Analyst,Company - Private,-1,46,87,New York,NY,Chicago,IL,0
Junior Data Analyst,Company - Private,Information Technology,46,87,Jersey City,NJ,Sunnyvale,CA,0
Senior Data Analyst,Company - Private,Finance,46,87,New York,NY,New York,NY,1
Junior Data Analyst,Company - Public,Business Services,46,87,Weehawken,NJ,Hauppauge,NY,0
Junior Data Analyst,Company - Public,Media,46,87,New York,NY,Burbank,CA,0
Junior Data Analyst,Company - Private,Accounting & Legal,46,87,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Information Technology,46,87,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Real Estate,46,87,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Health Care,51,88,New York,NY,New York,NY,1
Junior Data Analyst,Company - Public,Information Technology,51,88,New York,NY,Saint Louis,MO,0
Junior Data Analyst,Company - Public,Information Technology,51,88,New York,NY,Saint Louis,MO,0
Junior Data Analyst,Company - Public,Information Technology,51,88,New York,NY,Saint Louis,MO,0
Junior Data Analyst,Company - Public,Business Services,51,88,New York,NY,Tampa,FL,0
Junior Data Analyst,Company - Public,Information Technology,51,88,New York,NY,Paris,France,0
Junior Data Analyst,Company - Private,Information Technology,51,88,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Finance,51,88,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Information Technology,51,88,New York,NY,Princeton,NJ,0
Junior Data Analyst,Company - Private,Business Services,51,88,New York,NY,South Plainfield,NJ,0
Junior Data Analyst,Company - Private,Business Services,51,88,New York,NY,New York,NY,1
Junior Data Analyst,Company - Public,-1,51,88,New York,NY,Colorado Springs,CO,0
Junior Data Analyst,Company - Public,Finance,51,88,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Business Services,51,88,New York,NY,New York,NY,1
Junior Data Analyst,Government,Government,51,88,New York,NY,New York,NY,1
Junior Data Analyst,Company - Public,Media,51,88,New York,NY,New York,NY,1
Junior Data Analyst,Subsidiary or Business Segment,Business Services,51,88,Jersey City,NJ,Atlanta,GA,0
Junior Data Analyst,Company - Private,-1,51,88,New York,NY,New York,NY (US),1
Junior Data Analyst,Company - Private,Business Services,51,88,New York,NY,Cherry Hill,NJ,0
Junior Data Analyst,Company - Private,-1,51,88,New York,NY,Fremont,CA,0
Junior Data Analyst,Company - Private,Information Technology,51,88,New York,NY,Los Angeles,CA,0
Junior Data Analyst,Company - Private,Business Services,51,88,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Business Services,51,88,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Accounting & Legal,51,88,New York,NY,Plainsboro,NJ,0
Junior Data Analyst,Company - Private,-1,51,88,New York,NY,Dublin,Ireland,0
Junior Data Analyst,Company - Private,Information Technology,51,88,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Business Services,51,88,New York,NY,Alexandria,VA,0
Junior Data Analyst,Company - Private,Insurance,51,88,New York,NY,New York,NY,1
Junior Data Analyst,Nonprofit Organization,Finance,51,88,New York,NY,Washington,DC,0
Junior Data Analyst,Company - Public,Finance,51,87,New York,NY,New York,NY,1
Junior Data Analyst,Company - Public,Business Services,51,87,New York,NY,Irvine,CA,0
Junior Data Analyst,Company - Private,Information Technology,51,87,New York,NY,Irving,TX,0
Junior Data Analyst,Subsidiary or Business Segment,Business Services,51,87,Jersey City,NJ,Glen Allen,VA,0
Junior Data Analyst,Company - Private,Business Services,51,87,New York,NY,Evanston,IL,0
Junior Data Analyst,Company - Private,Retail,51,87,New York,NY,San Mateo,CA,0
Junior Data Analyst,Company - Private,Business Services,51,87,New York,NY,North Brunswick,NJ,0
Junior Data Analyst,Unknown,Health Care,51,87,Brooklyn,NY,Brooklyn,NY,1
Junior Data Analyst,Nonprofit Organization,-1,51,87,New York,NY,New York,NY,1
Junior Data Analyst,Company - Public,Consumer Services,51,87,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Business Services,51,87,New York,NY,Troy,MI,0
Junior Data Analyst,Company - Public,Health Care,51,87,New York,NY,Charlotte,NC,0
Junior Data Analyst,Company - Public,Finance,51,87,New York,NY,New York,NY,1
Junior Data Analyst,Nonprofit Organization,Non-Profit,51,87,Long Island City,NY,New York,NY,0
Junior Data Analyst,Company - Private,-1,51,87,New York,NY,New York,NY,1
Junior Data Analyst,Company - Private,Business Services,51,87,New York,NY,Yorktown Heights,NY,0
